# Simulation 1 (Up to date)
# 246 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
4.8112,124.78,8.1378,-9.9624,8.8055,9.964,15.283,0.0018077,15.283,0.006777,3.3634,0.18032,28.61,-80.6,9.7918,1.0831,-3.8236e-6,22.037,0.079451,246.98,0,0.0082058,1.5936e-4,438.92,315.86,2.2373,0.028619,452725,0,0.059143,0.43306,0.43458,0.32031,0.013494,0.099262,0.11122,0.080231,-3.3146e-4,0,0,0,0,0.169,0.0011516,55,23.758,57.863,0.0031758,NaN,14.189,99862,339.9,0.05,0.072974
4.8612,125.18,7.6405,-9.9298,8.3443,9.9316,15.451,0.0018556,15.451,0.0068811,3.3541,0.19282,28.61,-80.6,9.7918,1.6023,-3.8397e-6,22.357,0.055987,246.98,0,0.0082058,1.5936e-4,437.06,315.86,2.2036,0.027391,433282,0,0.054388,0.43306,0.4363,0.32031,0.013493,0.099254,0.16848,0.18089,-3.9659e-4,0,0,0,0,0.18988,0.0010937,55,23.758,56.754,0.003201,NaN,14.186,99857,339.9,0.05,0.073357
4.9112,125.55,7.1449,-9.8964,7.8887,9.8986,15.618,0.0019036,15.618,0.0069832,3.3441,0.20749,28.61,-80.6,9.7918,2.2378,-3.8619e-6,22.911,0.042007,246.98,0,0.0082058,1.5936e-4,434.9,315.86,2.1644,0.026189,414249,0,0.050048,0.43305,0.43921,0.32031,0.013492,0.099247,0.24204,0.30536,-3.854e-4,0,0,0,0,0.21814,0.0010366,55,23.758,55.623,0.0032873,NaN,14.184,99853,339.89,0.05,0.073723
4.9612,125.89,6.6508,-9.8659,7.4394,9.8683,15.785,0.0019516,15.785,0.0070835,3.3334,0.21708,28.61,-80.6,9.7918,2.857,-3.8914e-6,23.674,0.033851,246.98,0,0.0082058,1.5936e-4,432.92,315.86,2.1284,0.024967,394918,0,0.04586,0.43304,0.44282,0.32031,0.013491,0.099241,0.31739,0.41922,2.3698e-6,0,0,0,0,0.25626,9.8048e-4,55,23.758,54.459,0.0034276,NaN,14.182,99849,339.89,0.05,0.07411
5.0112,126.21,6.1582,-9.8368,6.9973,9.8393,15.952,0.0019996,15.952,0.0071821,3.3225,0.22485,28.61,-80.6,9.7918,3.5277,-3.9678e-6,24.545,0.027615,246.98,0,0.0082058,1.5936e-4,430.9,315.86,2.0916,0.023747,375600,0,0.041923,0.43304,0.4475,0.32032,0.01349,0.099234,0.40308,0.53858,4.8866e-4,0,0,0,0,0.30452,9.254e-4,55,23.758,53.254,0.0036629,NaN,14.18,99845,339.89,0.05,0.074559
5.0612,126.51,5.6675,-9.7899,6.5634,9.7935,16.118,0.0020477,16.118,0.0072791,3.3103,0.26433,28.61,-80.6,9.7918,4.9521,-3.9625e-6,25.73,0.018553,246.98,0,0.0082058,1.5936e-4,426.98,315.86,2.0203,0.022782,360331,0,0.039635,0.43303,0.45968,0.32032,0.013489,0.099229,0.5991,0.84677,3.3446e-4,0,0,0,0,0.36357,8.7151e-4,55,23.758,51.999,0.0039914,NaN,14.178,99841,339.89,0.05,0.074952
5.1112,126.78,5.1792,-9.7409,6.1391,9.7456,16.283,0.0020958,16.283,0.0073747,3.296,0.30454,28.61,-80.6,9.7918,6.4921,-3.9676e-6,27.344,0.012644,246.98,0,0.0082058,1.5936e-4,423.24,315.86,1.9524,0.021864,345807,0,0.037752,0.43303,0.4754,0.32032,0.013488,0.099225,0.8323,1.1792,2.6229e-4,0,0,0,0,0.44582,8.1897e-4,55,23.758,50.674,0.004383,NaN,14.176,99838,339.89,0.05,0.075403
5.1612,127.02,4.6933,-9.6994,5.7259,9.705,16.447,0.002144,16.447,0.007469,3.2801,0.32848,28.61,-80.6,9.7918,7.8407,-4.0588e-6,29.262,0.0090576,246.98,0,0.0082058,1.5936e-4,420.33,315.86,1.8994,0.020872,330111,0,0.035492,0.43303,0.49044,0.32032,0.013488,0.09922,1.0545,1.4427,1.4204e-4,0,0,0,0,0.56024,7.6802e-4,55,23.758,49.26,0.0048526,NaN,14.174,99835,339.89,0.05,0.075825
5.2112,127.25,4.2091,-9.6643,5.3261,9.6703,16.611,0.0021923,16.611,0.0075621,3.2635,0.33977,28.61,-80.6,9.7918,9.0908,-4.1122e-6,31.292,0.0068865,246.98,0,0.0082058,1.5936e-4,417.89,315.86,1.8551,0.019826,313555,0,0.032955,0.43302,0.50474,0.32032,0.013487,0.099216,1.2751,1.6556,-3.545e-4,0,0,0,0,0.71011,7.1895e-4,55,23.758,47.746,0.0053674,NaN,14.173,99833,339.89,0.05,0.076234
5.2612,127.44,3.7271,-9.617,4.9423,9.6239,16.773,0.0022408,16.773,0.0076542,3.2459,0.36494,28.61,-80.6,9.7918,10.76,-4.1879e-6,33.456,0.0041648,246.98,0,0.0082058,1.5936e-4,414.98,315.86,1.8021,0.018944,299608,0,0.031194,0.43302,0.52327,0.32032,0.013486,0.099212,1.5915,1.979,3.2781e-4,0,0,0,0,0.88902,6.7212e-4,55,23.758,46.128,0.0059095,NaN,14.172,99830,339.89,0.05,0.076645
5.3112,127.62,3.2476,-9.5606,4.5781,9.5688,16.935,0.0022893,16.935,0.0077453,3.2268,0.39584,28.61,-80.6,9.7918,12.693,-4.1063e-6,35.846,0.0017195,246.98,0,0.0082058,1.5936e-4,412.02,315.86,1.7483,0.018182,287547,0,0.029769,0.43302,0.54214,0.32032,0.013486,0.099209,1.9885,2.3688,-1.5758e-4,0,0,0,0,1.1079,6.2794e-4,55,23.758,44.397,0.006479,NaN,14.17,99828,339.89,0.05,0.077056
5.3612,127.77,2.771,-9.5044,4.2379,9.5136,17.096,0.002338,17.096,0.0078357,3.2065,0.41864,28.61,-80.6,9.7918,14.65,-4.0827e-6,38.419,-2.3887e-4,246.98,0,0.0082058,1.5936e-4,409.41,315.86,1.7009,0.017428,275622,0,0.028059,0.43302,0.55616,0.32032,0.013485,0.099206,2.4225,2.7355,2.4675e-4,0,0,0,0,1.3852,5.8695e-4,55,23.758,42.541,0.0070635,NaN,14.169,99826,339.89,0.05,0.077488
5.4112,127.9,2.2973,-9.4431,3.927,9.4533,17.256,0.0023869,17.256,0.0079254,3.185,0.43859,28.61,-80.6,9.7918,16.737,-3.9115e-6,41.145,-0.0018727,246.98,0,0.0082058,1.5936e-4,406.99,315.86,1.6569,0.016739,264722,0,0.026194,0.43301,0.56282,0.32032,0.013485,0.099204,2.9199,3.1157,-3.9444e-4,0,0,0,0,1.7222,5.4976e-4,55,23.758,40.552,0.0076568,NaN,14.169,99825,339.89,0.05,0.077891
5.4612,128,1.8267,-9.3717,3.6523,9.3829,17.415,0.0024359,17.415,0.0080145,3.1627,0.45955,28.61,-80.6,9.7918,19.006,-3.8911e-6,43.976,-0.0033717,246.98,0,0.0082058,1.5936e-4,404.71,315.86,1.6155,0.016165,255646,0,0.024326,0.43301,0.56046,0.32032,0.013485,0.099202,3.4989,3.5435,3.4885e-4,0,0,0,0,2.1095,5.1713e-4,55,23.758,38.425,0.0082438,NaN,14.168,99824,339.88,0.05,0.078312
5.5112,128.08,1.3608,-9.2752,3.4209,9.2884,17.572,0.0024852,17.572,0.0081031,3.1386,0.49541,28.61,-80.6,9.7918,21.675,-3.8379e-6,47.022,-0.0052772,246.98,0,0.0082058,1.5936e-4,402.44,315.86,1.5741,0.016017,253298,0,0.023445,0.43301,0.55022,0.32032,0.013485,0.099201,4.113,3.5623,9.168e-5,0,0,0,0,2.4567,4.8975e-4,55,23.758,36.15,0.0088299,NaN,14.167,99823,339.88,0.05,0.078741
5.5612,128.14,0.89876,-9.206,3.2408,9.2195,17.728,0.0025346,17.728,0.0081914,3.1137,0.49772,28.61,-80.6,9.7918,24.01,-3.8535e-6,49.72,-0.0064586,246.98,0,0.0082058,1.5936e-4,400.75,315.86,1.5434,0.015662,247688,0,0.021823,0.43301,0.53562,0.32033,0.013484,0.0992,4.63,3.1742,-1.2737e-4,0,0,0,0,2.8726,4.6844e-4,55,23.758,33.729,0.0094021,NaN,14.167,99822,339.88,0.05,0.079143
5.6112,128.17,0.44003,-9.1414,3.1202,9.1545,17.884,0.0025842,17.884,0.0082794,3.089,0.4886,28.61,-80.6,9.7918,26.317,-3.8191e-6,51.99,-0.0069367,246.98,0,0.0082058,1.5936e-4,399.31,315.86,1.5172,0.015255,241245,0,0.020003,0.43359,0.51751,0.32091,0.013484,0.099199,5.1738,2.7955,1.8096e-5,0,0,0,0,3.3108,4.5401e-4,55,23.758,31.185,0.0099524,NaN,14.167,99822,339.88,0.05,0.079547
5.6612,128.18,-0.015185,-9.0627,3.0649,9.0755,18.037,0.0026341,18.037,0.0083673,3.0648,0.48187,28.61,-80.6,9.7918,28.707,-3.8114e-6,53.91,-0.0073561,246.98,0,0.0082058,1.5936e-4,398.03,315.86,1.494,0.014985,236974,0,0.018487,0.43492,0.49568,0.32223,0.013484,0.099198,5.7684,2.5121,8.9432e-5,0,0,0,0,3.6893,4.4699e-4,55,23.758,28.536,0.010474,NaN,14.167,99822,339.88,0.05,0.079951
# Event APOGEE occurred at t=5.7112 seconds
5.7112,128.17,-0.46582,-8.9643,3.0762,8.9771,18.19,0.0026843,18.19,0.008455,3.0408,0.47799,28.61,-80.6,9.7918,31.074,-3.8435e-6,55.646,-0.0079651,246.98,0,0.0082058,1.5936e-4,396.96,315.86,1.4745,0.014901,235652,0,0.017327,0.43533,0.46982,0.32265,0.013484,0.099197,6.3845,2.35,-3.8009e-4,0,0,0,0,3.9749,4.4747e-4,55,23.758,25.797,0.01097,NaN,14.167,99822,339.88,0.0025,0.081059
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=5.7122 seconds
5.7509,128.14,-0.81483,-8.8032,5.0608,13.477,18.303,0.0027228,18.303,0.0085234,2.661,10.204,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.01489,235471,0,2.532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4769e-4,NaN,NaN,NaN,NaN,1.9977,14.167,99822,339.88,0.037102,0.081846
5.7928,128.1,-1.1622,-8.2717,4.6616,11.907,18.408,0.0027608,18.408,0.0085935,2.3013,8.5644,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.013715,216898,0,2.1483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0188e-4,NaN,NaN,NaN,NaN,1.9289,14.167,99822,339.88,0.041993,0.081927
5.8388,128.04,-1.5169,-7.7197,4.4547,10.881,18.505,0.0027995,18.505,0.0086677,1.949,7.6682,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.013107,207272,0,1.9619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6716e-4,NaN,NaN,NaN,NaN,1.9991,14.167,99823,339.88,0.045952,0.081989
5.8887,127.95,-1.8746,-7.1677,4.3221,10.02,18.594,0.0028382,18.594,0.0087458,1.5996,7.0016,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.012716,201101,0,1.8468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4429e-4,NaN,NaN,NaN,NaN,2.0982,14.168,99823,339.88,0.049901,0.082147
5.9439,127.84,-2.2433,-6.6839,4.142,9.065,18.673,0.0028776,18.673,0.0088297,1.2618,6.1237,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.012187,192724,0,1.6961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3474e-4,NaN,NaN,NaN,NaN,2.094,14.168,99824,339.88,0.055157,0.082215
6.0046,127.69,-2.6173,-6.1567,4.0483,8.2295,18.739,0.0029172,18.739,0.0089195,0.93003,5.4608,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.011911,188366,0,1.6203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4115e-4,NaN,NaN,NaN,NaN,2.1082,14.169,99826,339.89,0.060757,0.082283
6.0719,127.5,-2.9934,-5.5855,4.0149,7.4253,18.791,0.002957,18.791,0.0090162,0.60058,4.8925,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.011812,186812,0,1.5936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6156e-4,NaN,NaN,NaN,NaN,2.1144,14.17,99827,339.89,0.067337,0.082354
6.1475,127.26,-3.3678,-4.952,4.039,6.6137,18.824,0.0029967,18.824,0.0091215,0.26915,4.3839,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.011883,187938,0,1.6129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9318e-4,NaN,NaN,NaN,NaN,2.1111,14.171,99830,339.89,0.075601,0.082425
6.2323,126.96,-3.7181,-4.133,4.1974,5.8989,18.831,0.0030356,18.831,0.0092361,0.087606,4.209,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.012349,195311,0,1.7419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3302e-4,NaN,NaN,NaN,NaN,2.236,14.173,99832,339.89,0.084762,0.082494
6.3308,126.58,-4.049,-3.3605,4.3208,5.0777,18.804,0.0030739,18.804,0.0093659,0.46244,3.8066,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.012712,201056,0,1.8458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7625e-4,NaN,NaN,NaN,NaN,2.2886,14.175,99836,339.89,0.098469,0.082562
6.4547,126.06,-4.3787,-2.6594,4.4,4.0337,18.724,0.0031125,18.724,0.0095243,0.83838,3.0328,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.012945,204750,0,1.9143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.2281e-4,NaN,NaN,NaN,NaN,2.1845,14.177,99840,339.89,0.12396,0.082627
6.638,125.23,-4.723,-1.8791,4.5136,2.7289,18.537,0.0031529,18.537,0.0097453,1.2009,1.9788,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.01328,210044,0,2.0145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7382e-4,NaN,NaN,NaN,NaN,1.9337,14.181,99847,339.89,0.18323,0.082693
6.9536,123.7,-4.9612,-0.7547,4.7788,1.5843,18.088,0.0031863,18.088,0.010093,1.6406,1.393,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.01406,222400,0,2.2583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2957e-4,NaN,NaN,NaN,NaN,1.9293,14.186,99856,339.9,0.3156,0.082757
7.4536,121.22,-4.9288,0.064761,4.9612,0.067717,17.266,0.0031823,17.266,0.01056,1.6505,0.01979,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014596,230914,0,2.4343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7877e-4,NaN,NaN,NaN,NaN,1.6508,14.196,99874,339.9,0.5,0.082822
7.9536,118.75,-4.9506,-0.043536,4.9378,0.58905,16.367,0.0031535,16.367,0.011039,1.9442,0.58744,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014527,229868,0,2.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.754e-4,NaN,NaN,NaN,NaN,1.9478,14.212,99903,339.91,0.5,0.082889
8.4536,116.28,-4.9355,0.030199,4.9521,0.24238,15.365,0.0031218,15.365,0.011641,2.0644,0.24049,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014568,230577,0,2.4265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9437e-4,NaN,NaN,NaN,NaN,2.0657,14.228,99932,339.92,0.5,0.082954
8.9536,113.81,-4.9504,-0.029806,4.9357,0.099155,14.321,0.0030865,14.321,0.012349,2.1117,0.094569,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.01452,229859,0,2.4111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9997e-4,NaN,NaN,NaN,NaN,2.1126,14.244,99961,339.93,0.5,0.083019
9.4536,111.34,-4.9231,0.054504,4.9622,0.6834,13.35,0.0030498,13.35,0.013089,1.7711,0.68122,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014597,231136,0,2.4376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.0468e-4,NaN,NaN,NaN,NaN,1.7695,14.26,99990,339.94,0.5,0.083086
9.8236,109.52,-4.9167,0.017285,4.9697,1.3513,12.602,0.003024,12.602,0.013748,2.2711,1.3512,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014619,231528,0,2.4455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.812e-4,NaN,NaN,NaN,NaN,2.4496,14.276,100019,339.95,0.37,0.083157
10.324,107.05,-4.9573,-0.081192,4.9253,0.57956,11.539,0.0029877,11.539,0.014835,1.9841,0.57384,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014488,229493,0,2.4025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1133e-4,NaN,NaN,NaN,NaN,1.9808,14.288,100040,339.96,0.5,0.083224
10.824,104.58,-4.9212,0.072172,4.961,0.38575,10.594,0.0029502,10.594,0.015956,1.7947,0.37894,28.61,-80.6,9.7918,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014592,231199,0,2.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9756e-4,NaN,NaN,NaN,NaN,1.794,14.304,100069,339.97,0.5,0.083299
11.324,102.12,-4.9551,-0.067736,4.9253,0.4017,9.647,0.0029169,9.647,0.017324,1.9926,0.39595,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014487,229582,0,2.4036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8229e-4,NaN,NaN,NaN,NaN,1.9954,14.32,100098,339.98,0.5,0.083367
11.824,99.646,-4.9244,0.061449,4.9555,0.13608,8.6355,0.0028835,8.6355,0.019132,2.0534,0.12142,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014576,231031,0,2.4337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9781e-4,NaN,NaN,NaN,NaN,2.054,14.336,100127,339.99,0.5,0.083432
12.324,97.177,-4.9504,-0.052017,4.9278,0.36772,7.5633,0.0028479,7.5633,0.021574,2.2354,0.36402,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014494,229785,0,2.4072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9799e-4,NaN,NaN,NaN,NaN,2.2377,14.352,100156,340,0.5,0.083499
12.824,94.71,-4.9165,0.067806,4.9611,0.65257,6.5268,0.0028102,6.5268,0.02467,1.9108,0.64904,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014591,231379,0,2.4403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1275e-4,NaN,NaN,NaN,NaN,1.9098,14.368,100185,340.01,0.5,0.083566
13.324,92.241,-4.9592,-0.085367,4.9166,0.1017,5.5645,0.0027737,5.5645,0.02856,1.9385,0.055283,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.01446,229347,0,2.3973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8841e-4,NaN,NaN,NaN,NaN,1.9392,14.384,100214,340.02,0.5,0.083633
13.824,89.773,-4.9159,0.086525,4.9594,0.13165,4.6076,0.0027398,4.6076,0.034069,1.8889,0.099221,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014585,231389,0,2.4398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9504e-4,NaN,NaN,NaN,NaN,1.889,14.4,100243,340.03,0.5,0.083698
14.324,87.304,-4.9574,-0.082904,4.9161,0.12177,3.6743,0.0027061,3.6743,0.042197,1.8443,0.089191,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014458,229412,0,2.398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8705e-4,NaN,NaN,NaN,NaN,1.844,14.416,100272,340.04,0.5,0.083766
14.824,84.837,-4.9102,0.094266,4.9628,0.47287,2.6943,0.0026732,2.6943,0.056848,2.076,0.46337,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014595,231635,0,2.4443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8935e-4,NaN,NaN,NaN,NaN,2.077,14.433,100301,340.05,0.5,0.083834
15.32,82.392,-4.9349,-0.049682,4.9363,1.0066,1.5391,0.0026391,1.5391,0.098245,2.5754,1.0054,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014516,230443,0,2.4189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9778e-4,NaN,NaN,NaN,NaN,2.583,14.449,100330,340.05,0.49671,0.083898
15.82,79.926,-4.9295,0.010879,4.941,0.48888,0.31251,0.0025982,0.31252,0.47636,2.331,0.48876,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.01453,230704,0,2.424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3504e-4,NaN,NaN,NaN,NaN,2.3296,14.464,100359,340.06,0.5,0.083964
16.288,77.625,-4.9122,0.036931,4.9585,1.0693,-0.6606,0.0025579,0.6606,179.78,1.8313,1.0687,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014581,231563,0,2.4418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1687e-4,NaN,NaN,NaN,NaN,1.7953,14.48,100388,340.07,0.46759,0.084029
16.788,75.159,-4.9514,-0.078354,4.9165,0.41452,-1.6271,0.0025211,1.6271,179.91,2.0348,0.40704,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014457,229644,0,2.4011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8328e-4,NaN,NaN,NaN,NaN,2.0374,14.495,100415,340.08,0.5,0.084098
17.288,72.693,-4.9142,0.074347,4.9531,0.27445,-2.6115,0.002487,2.6115,179.95,1.9027,0.26418,28.61,-80.6,9.7919,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014564,231398,0,2.4376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9996e-4,NaN,NaN,NaN,NaN,1.9025,14.511,100444,340.09,0.5,0.084166
17.788,70.227,-4.9514,-0.074366,4.9143,0.087649,-3.557,0.0024524,3.557,179.96,1.8795,0.046391,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.014449,229624,0,2.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8766e-4,NaN,NaN,NaN,NaN,1.8796,14.527,100472,340.1,0.5,0.08425
18.288,67.761,-4.913,0.076837,4.9521,0.18506,-4.4758,0.0024191,4.4758,179.97,1.7953,0.16835,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.01456,231436,0,2.4377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9067e-4,NaN,NaN,NaN,NaN,1.7954,14.544,100501,340.11,0.5,0.084315
18.788,65.295,-4.9487,-0.071532,4.9147,0.26558,-5.3414,0.0023868,5.3415,179.97,1.6675,0.25576,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,246.98,0,NaN,NaN,NaN,NaN,NaN,0.01445,229729,0,2.4015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8134e-4,NaN,NaN,NaN,NaN,1.6664,14.56,100530,340.12,0.5,0.084376
